cid,name,standard_dg_prime,p_h,ionic_strength,p_mg,temperature,decompose,reference,remark,Smiles
metanetx.chemical:MNXM4374,4-Oxoglutaramate,-352.2,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C([H])([H])C([H])([H])C(=O)C(=O)N([H])[H]
metanetx.chemical:MNXM6396,Propane-1-ol,150.1,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])C([H])([H])C([H])([H])[H]
metanetx.chemical:MNXM722772,2-Hydroxybutanoic acid,-221.9,7.0,0.25,14.0,298.15,1,Thauer (1977),,[H]OC(=O)[C@@]([H])(O[H])C([H])([H])C([H])([H])[H]
metanetx.chemical:MNXM3230,1-Butanol,235.6,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
metanetx.chemical:MNXM977,Ethylene,244.4,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])=C([H])[H]
metanetx.chemical:MNXM9763,"2,4-Dichlorobenzoate",-155.0,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c([H])c(Cl)c([H])c1Cl
metanetx.chemical:MNXM3133,"1,2-Dichloroethane",90.0,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])(Cl)C([H])([H])Cl
metanetx.chemical:MNXM3102,Tetrachloroethene,27.6,7.0,0.25,14.0,298.15,1,Dolfing (1994),,ClC(Cl)=C(Cl)Cl
metanetx.chemical:MNXM1198,Trichloroethene,66.2,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C(Cl)=C(Cl)Cl
metanetx.chemical:MNXM149903,"trans-1,2-Dichloroethene",113.5,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]/C(Cl)=C(/[H])Cl
metanetx.chemical:MNXM3235,"cis-1,2-Dichloroethene",109.3,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]/C(Cl)=C(\[H])Cl
metanetx.chemical:MNXM2007,Vinyl chloride,181.9,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])=C([H])Cl
metanetx.chemical:MNXM3103,Carbon tetrachloride,-45.1,7.0,0.25,14.0,298.15,0,Dolfing (1994),,ClC(Cl)(Cl)Cl
metanetx.chemical:MNXM4835,Sulfur dioxide,-300.7,7.0,0.25,14.0,298.15,0,Thauer (1977),,O=S=O
metanetx.chemical:MNXM5083,Chloroform,-25.8,7.0,0.25,14.0,298.15,0,Dolfing (1994),,[H]C(Cl)(Cl)Cl
metanetx.chemical:MNXM5399,"1,1-Dichloroethylene",113.7,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])=C(Cl)Cl
metanetx.chemical:MNXM13820,"1,2,3-Trichloropropane",103.2,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])(Cl)C([H])(Cl)C([H])([H])Cl
metanetx.chemical:MNXM31999,"1,1,1,2-Tetrachloroethane",3.7,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])(Cl)C(Cl)(Cl)Cl
metanetx.chemical:MNXM111,Fe2+,-82.1,7.0,0.25,14.0,298.15,0,Thauer (1977),,[Fe+2]
metanetx.chemical:MNXM196,Fe3+,-11.9,7.0,0.25,14.0,298.15,0,Thauer (1977),,[Fe+3]
metanetx.chemical:MNXM9519,"1,1,1-Trichloroethane",53.2,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])([H])C(Cl)(Cl)Cl
metanetx.chemical:MNXM9520,"1,1-Dichloroethane",94.3,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])([H])C([H])(Cl)Cl
metanetx.chemical:MNXM10926,Chloroethane,166.9,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])([H])C([H])([H])Cl
metanetx.chemical:MNXM32136,"1,2-Dichloropropane",164.6,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])([H])C([H])(Cl)C([H])([H])Cl
